蛋糕,湿垃圾
蛋黄,湿垃圾
麦当劳纸袋,可回收垃圾
刀片,可回收垃圾
飞刀,可回收垃圾
剪刀,可回收垃圾
导线,可回收垃圾
塑料管道,可回收垃圾
拍立得,可回收垃圾
的确良,可回收垃圾
破的碗,干垃圾
贝壳的肉,湿垃圾
灯管,有害垃圾
灯泡,有害垃圾
登山杖,可回收垃圾
低温牛奶盒子,可回收垃圾
竹笛,干垃圾
底片,干垃圾
粉底,干垃圾
地毯,可回收垃圾
烟蒂,干垃圾
香烟蒂,干垃圾
抽完的烟蒂,干垃圾
快递袋,干垃圾
快递盒,可回收垃圾
快递箱,可回收垃圾
糕点,湿垃圾
早点盒,干垃圾
垫子,可回收垃圾
护垫,干垃圾
电灯,可回收垃圾
电锅,可回收垃圾
淀粉,湿垃圾
木雕,可回收垃圾
掉落的头发,干垃圾
吊牌,干垃圾
衣服吊牌,干垃圾
钓鱼竿,干垃圾
钓鱼钩,干垃圾
钓鱼线,干垃圾
空调,可回收垃圾
空调机,可回收垃圾
空调扇,可回收垃圾
碟片,干垃圾
光碟,干垃圾
碗碟,干垃圾
丁字裤,干垃圾
铁钉,可回收垃圾
图钉,干垃圾
洋钉,可回收垃圾
机顶盒,可回收垃圾
吸顶灯,有害垃圾
电视机顶盒,可回收垃圾
订书钉,干垃圾
订书机,可回收垃圾
订书针,干垃圾
冬瓜,湿垃圾
冬笋壳,湿垃圾
冬枣核,湿垃圾
动物毛,干垃圾
果冻,湿垃圾
果冻盒,干垃圾
冷冻食品,湿垃圾
电熨斗,可回收垃圾
水斗漏网,干垃圾
大豆,湿垃圾
豆腐,湿垃圾
豆类,湿垃圾
毒鼠强,有害垃圾
杀毒剂,有害垃圾
消毒药片,有害垃圾
电子书阅读器,可回收垃圾
杜蕾斯,干垃圾
温度计,有害垃圾
废温度计,有害垃圾
电子温度计,可回收垃圾
短裤,干垃圾
缎带,可回收垃圾
多肉,湿垃圾
多肉植物,湿垃圾
养乐多瓶,可回收垃圾
花朵,湿垃圾
鹅,湿垃圾
儿童玩具,可回收垃圾
婴儿尿布,干垃圾
耳环,可回收垃圾
